,feature,size
0,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '<', '1968', 'mi.info_type_id', '>', '15']",4094363.0
1,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '2013', 'mi.info_type_id', '>', '2', 'mi_idx.info_type_id', '=', '101']",4085608.0
2,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '2', 't.production_year', '=', '1912', 'mi.info_type_id', '>', '97', 'mi_idx.info_type_id', '>', '100']",138.0
3,"['mk.keyword_id', '<', '72871']",4364160.0
4,"['t.id', '=', 'ci.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1988', 'ci.person_id', '>', '2332861']",1332632.0
5,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 'mi.info_type_id', '<', '7', 'mk.keyword_id', '<', '1050']",9960904.0
6,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '15530']",79.0
7,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mc.company_id', '>', '33011', 'mc.company_type_id', '>', '1']",986153.0
8,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '<', '1983', 'mc.company_type_id', '>', '1']",5363069.0
9,"['ci.person_id', '<', '3687908', 'ci.role_id', '<', '2']",12670688.0
10,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 'mk.keyword_id', '<', '16264']",35081262.0
11,"['t.id', '=', 'mi.movie_id', 't.production_year', '=', '1911']",69891.0
12,"['ci.person_id', '>', '308276', 'ci.role_id', '>', '10']",304956.0
13,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '>', '1192104']",140125574.0
14,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '2005', 'ci.person_id', '<', '3558263', 'ci.role_id', '<', '3']",6332557.0
15,"['t.id', '=', 'ci.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2004', 'ci.person_id', '=', '1746597']",49.0
16,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2011', 'mi_idx.info_type_id', '=', '101']",2960331.0
17,"['mk.keyword_id', '<', '29597']",3907759.0
18,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'mi.info_type_id', '=', '2', 'mk.keyword_id', '=', '20170']",333.0
19,"['mk.keyword_id', '=', '36821']",81.0
20,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2011', 'mc.company_id', '<', '10194', 'ci.person_id', '=', '2341852']",87.0
21,"['ci.person_id', '<', '331906']",3454917.0
22,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2011', 'mi.info_type_id', '=', '3']",1233510.0
23,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '125279']",1.0
24,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '>', '1985', 'ci.role_id', '<', '10']",247313325.0
25,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '4', 't.production_year', '=', '2006', 'mk.keyword_id', '<', '261']",8267.0
26,"['t.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 't.production_year', '=', '2002', 'mk.keyword_id', '<', '68519']",65177.0
27,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '7', 'mc.company_id', '>', '1070', 'mc.company_type_id', '<', '2']",47652.0
28,"['mk.keyword_id', '=', '4496']",53.0
29,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '2009', 'ci.person_id', '>', '771771', 'ci.role_id', '<', '3']",7495339.0
30,"['mk.keyword_id', '=', '4510']",361.0
31,"['ci.person_id', '=', '1815126']",68.0
32,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '4', 'mc.company_id', '>', '904']",150721.0
33,"['mc.company_id', '<', '21368', 'mc.company_type_id', '<', '2']",1152935.0
34,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2009', 'mc.company_id', '<', '27']",18988.0
35,"['mc.company_id', '>', '76833', 'mc.company_type_id', '>', '1']",456412.0
36,"['ci.person_id', '=', '1890065', 'ci.role_id', '>', '2']",76.0
37,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mc.company_id', '=', '11203', 'mc.company_type_id', '=', '2', 'mi.info_type_id', '>', '15']",7774.0
38,"['ci.person_id', '<', '741900']",7647353.0
39,"['t.id', '=', 'ci.movie_id', 't.production_year', '>', '2009', 'ci.person_id', '>', '848193', 'ci.role_id', '=', '2']",1569604.0
40,"['mc.company_id', '=', '16094']",88.0
41,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '1991']",11589.0
42,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '782']",4023.0
43,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '1964', 'ci.person_id', '=', '3152796']",38.0
44,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '=', '2012', 'mk.keyword_id', '>', '10049']",29817.0
45,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '=', '11361']",609.0
46,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '>', '3088227']",44140595.0
47,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '<', '10681']",143651436.0
48,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2002']",7026524.0
49,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '1', 't.production_year', '=', '1988', 'ci.role_id', '>', '1']",56671.0
50,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 'mk.keyword_id', '=', '16501']",2940.0
51,"['mc.company_id', '<', '11288']",1298868.0
52,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '2011', 'mi.info_type_id', '<', '4']",455680.0
53,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '1', 't.production_year', '=', '2003', 'ci.person_id', '<', '373984', 'ci.role_id', '<', '8']",18314.0
54,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '1', 'ci.person_id', '=', '3278192']",132.0
55,"['t.id', '=', 'mi.movie_id', 't.production_year', '>', '1985', 'mi.info_type_id', '<', '8']",4232917.0
56,"['ci.person_id', '>', '3162226', 'ci.role_id', '>', '10']",203110.0
57,"['mk.keyword_id', '<', '1102']",1085361.0
58,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '2009', 'mi.info_type_id', '<', '17']",692757.0
59,"['t.id', '=', 'mc.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2010', 'mc.company_id', '>', '14986', 'mc.company_type_id', '=', '1']",21677.0
60,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1983', 'mi_idx.info_type_id', '=', '99']",1055091.0
61,"['ci.person_id', '=', '2192459', 'ci.role_id', '<', '6']",87.0
62,"['t.kind_id', '<', '2', 't.production_year', '>', '1929']",541000.0
63,"['mk.keyword_id', '=', '68992']",4.0
64,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mc.company_id', '<', '35439', 'mi.info_type_id', '=', '5']",4339766.0
65,"['mc.company_id', '>', '86998', 'mc.company_type_id', '>', '1']",359681.0
66,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '<', '1293']",2500673.0
67,"['mc.company_id', '=', '26439']",17.0
68,"['mc.company_id', '=', '44018', 'mc.company_type_id', '=', '1']",6.0
69,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 'mc.company_id', '=', '4023', 'mc.company_type_id', '=', '1']",5.0
70,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2001', 'mk.keyword_id', '=', '6082']",281.0
71,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '2002', 'mk.keyword_id', '>', '14520']",491865.0
72,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '1', 't.production_year', '=', '1994', 'mi.info_type_id', '>', '7', 'mi_idx.info_type_id', '>', '100']",25407.0
73,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2005', 'mc.company_id', '=', '70951', 'mc.company_type_id', '=', '2', 'mi_idx.info_type_id', '=', '101']",3.0
